,,,,Execution Time,Execution Time,Execution Time,Execution Time,Guesses,Guesses,Guesses,Guesses,Backtracks,Backtracks,Backtracks,Backtracks
,,,,min,max,mean,count,min,max,mean,count,min,max,mean,count
algorithm,search,guess,Zeros,,,,,,,,,,,,
backtracking,1,1,24.0,0.0061213999870233,0.0081085999845527,0.0064297180040738975,50,24.0,43.0,26.06,50,0.0,19.0,2.06,50
backtracking,1,1,25.0,0.0059650999610312,0.0080891999532468,0.006288329997332722,50,25.0,62.0,30.54,50,0.0,37.0,5.54,50
backtracking,1,1,26.0,0.0058611000422388,0.0073395000072196,0.006162761999294119,50,26.0,51.0,29.52,50,0.0,25.0,3.52,50
backtracking,1,1,27.0,0.0059664999716915,0.0079158000298775,0.00634937200113195,50,27.0,72.0,32.22,50,0.0,45.0,5.22,50
backtracking,1,1,28.0,0.0059297000407241,0.006709299981594,0.00620829600375141,50,28.0,52.0,33.92,50,0.0,24.0,5.92,50
backtracking,1,1,29.0,0.0058919999864883,0.0066241999738849,0.006238444006303282,50,29.0,69.0,35.74,50,0.0,40.0,6.74,50
backtracking,1,1,30.0,0.0060167000046931,0.0112792000290937,0.0064429819968062985,50,30.0,385.0,48.64,50,0.0,355.0,18.64,50
backtracking,1,1,31.0,0.0059674000367522,0.0074769000057131,0.0063757300004362635,50,31.0,122.0,43.64,50,0.0,91.0,12.64,50
backtracking,1,1,32.0,0.0059882000205107,0.0072879000217653,0.006376320006092963,50,32.0,108.0,45.12,50,0.0,76.0,13.12,50
backtracking,1,1,33.0,0.0060408999561332,0.0082790000014938,0.0064271699986420084,50,33.0,184.0,50.72,50,0.0,151.0,17.72,50
backtracking,1,1,34.0,0.0060830999864265,0.0071359000285156,0.006369305999251042,50,34.0,104.0,46.94,50,0.0,70.0,12.94,50
backtracking,1,1,35.0,0.0061017000116407,0.0078087999718263,0.006536414002766786,50,35.0,136.0,55.28,50,0.0,101.0,20.28,50
backtracking,1,1,36.0,0.006114299991168,0.0094071000348776,0.006741531998850359,50,37.0,298.0,73.12,50,1.0,262.0,37.12,50
backtracking,1,1,37.0,0.0060880000237375,0.0113194999867118,0.00694648399716238,50,37.0,454.0,85.66,50,0.0,417.0,48.66,50
backtracking,1,1,38.0,0.0061721000238321,0.0107541999896057,0.006900111999129834,50,38.0,343.0,86.24,50,0.0,305.0,48.24,50
backtracking,1,1,39.0,0.0061810999759472,0.0135226999991573,0.007198148000752502,50,40.0,600.0,104.16,50,1.0,561.0,65.16,50
backtracking,1,1,40.0,0.0062511999858543,0.0137340999790467,0.0077334580034948445,50,42.0,608.0,148.62,50,2.0,568.0,108.62,50
backtracking,1,1,41.0,0.0061584999784827,0.0123382000019773,0.007724489999236492,50,43.0,561.0,144.06,50,2.0,520.0,103.06,50
backtracking,1,1,42.0,0.0062686000019311,0.0376443000277504,0.008696833999128963,50,46.0,2447.0,223.42,50,4.0,2405.0,181.42,50
backtracking,1,1,43.0,0.0061844000010751,0.0270950000267475,0.009598065998870836,50,44.0,1656.0,287.26,50,1.0,1613.0,244.26,50
backtracking,1,1,44.0,0.0062789000221528,0.0597594999708235,0.012088570001069412,50,52.0,4168.0,479.64,50,8.0,4124.0,435.64,50
backtracking,1,1,45.0,0.0064419999835081,0.0880597000359557,0.014252961991587609,50,54.0,6440.0,653.9,50,9.0,6395.0,608.9,50
backtracking,1,2,24.0,0.0060427000280469,0.006902799999807,0.006372038003755688,50,24.0,44.0,26.92,50,0.0,20.0,2.92,50
backtracking,1,2,25.0,0.0060193999670445,0.0068495000014081,0.00634905999992038,50,25.0,40.0,28.1,50,0.0,15.0,3.1,50
backtracking,1,2,26.0,0.005979000008665,0.0068179000518284,0.006360533994156824,50,26.0,43.0,29.58,50,0.0,17.0,3.58,50
backtracking,1,2,27.0,0.0060327000101096,0.0117217000224627,0.0068329760036430764,50,27.0,85.0,33.8,50,0.0,58.0,6.8,50
backtracking,1,2,28.0,0.0061089999508112,0.0077494999859482,0.00644071000628169,50,28.0,56.0,33.62,50,0.0,28.0,5.62,50
backtracking,1,2,29.0,0.0060715999570675,0.0113337999791838,0.00661821399582545,50,29.0,68.0,34.46,50,0.0,39.0,5.46,50
backtracking,1,2,30.0,0.0060224999906495,0.0131623999914154,0.0065968080016318275,50,30.0,382.0,46.78,50,0.0,352.0,16.78,50
backtracking,1,2,31.0,0.0061895999824628,0.0079531000228598,0.0066062160010914835,50,31.0,121.0,45.08,50,0.0,90.0,14.08,50
backtracking,1,2,32.0,0.0060744000365957,0.0085486000170931,0.006619258000282534,50,32.0,133.0,45.6,50,0.0,101.0,13.6,50
backtracking,1,2,33.0,0.0061562999617308,0.0084837999893352,0.006664964000228746,50,33.0,144.0,47.52,50,0.0,111.0,14.52,50
backtracking,1,2,34.0,0.0062348999781534,0.0097335999598726,0.00681673800456333,50,34.0,222.0,56.4,50,0.0,188.0,22.4,50
backtracking,1,2,35.0,0.0061568000237457,0.0081060000229626,0.006915572000434585,50,35.0,130.0,59.86,50,0.0,95.0,24.86,50
backtracking,1,2,36.0,0.0062591999885626,0.0139494999893941,0.007142314000520808,50,37.0,428.0,74.58,50,1.0,392.0,38.58,50
backtracking,1,2,37.0,0.0063439999939873,0.0154022999922744,0.007619899999117434,50,37.0,523.0,94.88,50,0.0,486.0,57.88,50
backtracking,1,2,38.0,0.0063831000006757,0.0129026999929919,0.007176617998629762,50,38.0,377.0,75.48,50,0.0,339.0,37.48,50
backtracking,1,2,39.0,0.0063088000169955,0.026567899971269,0.007959403998684094,50,40.0,1097.0,118.3,50,1.0,1058.0,79.3,50
backtracking,1,2,40.0,0.006601299974136,0.0339852999895811,0.008866164003265974,50,44.0,1491.0,160.24,50,4.0,1451.0,120.24,50
backtracking,1,2,41.0,0.006379900034517,0.0158912999904714,0.008695077997399454,50,42.0,545.0,153.74,50,1.0,504.0,112.74,50
backtracking,1,2,42.0,0.0065244000288657,0.0220286000403575,0.009393926005577619,50,48.0,883.0,192.1,50,6.0,841.0,150.1,50
backtracking,1,2,43.0,0.0064735999912954,0.0217747999704442,0.010299280002945993,50,47.0,816.0,229.04,50,4.0,773.0,186.04,50
backtracking,1,2,44.0,0.0065704999724403,0.0804752999683842,0.014547849997179545,50,55.0,3880.0,450.54,50,11.0,3836.0,406.54,50
backtracking,1,2,45.0,0.0066487000440247,0.1923984999884851,0.018293287999695124,50,52.0,9486.0,653.82,50,7.0,9441.0,608.82,50
backtracking,2,1,24.0,0.0057528000324964,0.0063766000093892,0.005970307999523312,50,24.0,38.0,26.06,50,0.0,14.0,2.06,50
backtracking,2,1,25.0,0.005848100001458,0.0072136999806389,0.006150366003857874,50,25.0,72.0,30.18,50,0.0,47.0,5.18,50
backtracking,2,1,26.0,0.0058115000138059,0.0073638999601826,0.006082244003191541,50,26.0,48.0,29.52,50,0.0,22.0,3.52,50
backtracking,2,1,27.0,0.0058127000229433,0.0071217999793589,0.006178820000495719,50,27.0,102.0,34.26,50,0.0,75.0,7.26,50
backtracking,2,1,28.0,0.0057927999878302,0.0072317000012844,0.006111610002117184,50,28.0,83.0,34.6,50,0.0,55.0,6.6,50
backtracking,2,1,29.0,0.0058622999931685,0.0074165000114589,0.006172192000085442,50,29.0,100.0,37.46,50,0.0,71.0,8.46,50
backtracking,2,1,30.0,0.0058046999620273,0.0076407000306062,0.006142835996579332,50,30.0,146.0,40.96,50,0.0,116.0,10.96,50
backtracking,2,1,31.0,0.0058498000144027,0.0068803000031039,0.006224201999139006,50,31.0,87.0,43.12,50,0.0,56.0,12.12,50
